 STOCKS VALORIZADOS POR ALMACEN - LINEAS 


*OPEN COMB SYSTEMS

**MARKET

COD. LINEA,LINEA,COD. PRODUCTO,PRODUCTO,COD. UNIDAD,STOCK-TOTAL,COSTO,VALOR-TOTAL
000025,FILTROS,00000AFL-3381 ,AFL-3381 LYS ,UNI ,2.0000 ,64.419492 ,128.8389840000
000025,FILTROS,00000AFL-3821 ,AFL-3821 LYS ,UNI ,12.0000 ,74.819916 ,897.8389920000
000025,FILTROS,00000AFL-4030 ,AFL-4030 LYS ,UNI ,3.0000 ,22.180791 ,66.5423730000
000025,FILTROS,00000AFL-4090 ,AFL-4090 LYS ,UNI ,3.0000 ,25.271186 ,75.8135580000
000025,FILTROS,00000AFL-4801 ,AFL-4801 LYS ,UNI ,3.0000 ,19.740113 ,59.2203390000
000025,FILTROS,00000AFL-5204 ,AFL-5204 LYS ,UNI ,1.0000 ,65.957627 ,65.9576270000
000025,FILTROS,00000AFL-6882 ,AFL-6882 LYS ,UNI ,5.0000 ,12.430508 ,62.1525400000
000025,FILTROS,00000AFL-6903 ,AFL-6903 LYS ,UNI ,3.0000 ,25.559322 ,76.6779660000
000025,FILTROS,00000AFL-7138 ,AFL-7138 LYS ,UNI ,1.0000 ,43.991525 ,43.9915250000
000025,FILTROS,00000AFL-7225 ,AFL-7225 LYS ,UNI ,4.0000 ,48.709746 ,194.8389840000
000025,FILTROS,00000BAE-1347 ,BAE-1347 WILY BUSCH ,UNI ,5.0000 ,13.469492 ,67.3474600000
000025,FILTROS,00000BAE-2065 ,BAE-2065 WILLY BUSCH ,UNI ,14.0000 ,24.993947 ,349.9152580000
000025,FILTROS,00000BAE-5050 ,BAE-5050 WILLY BUSCH ,UNI ,4.0000 ,16.019068 ,64.0762720000
000025,FILTROS,00000BLS-1100 ,BLS-1100 WILLY BUSCH ,UNI ,14.0000 ,12.210048 ,170.9406720000
000025,FILTROS,00000BLS-4013 ,BLS-4013 WILLY BUSCH ,UNI ,4.0000 ,15.269068 ,61.0762720000
000025,FILTROS,00000BLS-604A ,BLS-604A WILLY BUSCH ,UNI ,24.0000 ,10.820000 ,259.6800000000
000025,FILTROS,00000BLS-833N ,BLS-833N WILLY BUSCH ,UNI ,7.0000 ,11.105327 ,77.7372890000
000025,FILTROS,00000BPS-1332 ,BPS-1332 WILLY BUSCH ,UNI ,10.0000 ,6.789831 ,67.8983100000
000025,FILTROS,00000BPS-22NP ,BPS-22NP WILLY BUSCH ,UNI ,2.0000 ,15.038136 ,30.0762720000
000025,FILTROS,00000CF-600/1 ,CF-600/1 MANN FILTER ,UNI ,4.0000 ,34.209746 ,136.8389840000
000025,FILTROS,00000FCO-501A ,FCO-501A PUROLATOR ,UNI ,7.0000 ,11.841404 ,82.8898280000
000025,FILTROS,00000FCO-530A ,FCO-530A PUROLATOR ,UNI ,6.0000 ,8.470339 ,50.8220340000
000025,FILTROS,00000FCO-5421 ,FCO-5421 PUROLATOR ,UNI ,4.0000 ,18.599576 ,74.3983040000
000025,FILTROS,00000FCO-549A ,FCO-549A PUROLATOR ,UNI ,5.0000 ,27.919492 ,139.5974600000
000025,FILTROS,00000FF-42000 ,FF-42000 FLEETGUARD ,UNI ,12.0000 ,23.290091 ,279.4810920000
000025,FILTROS,00000FS-19573 ,FS-19573 FLEETGUARD ,UNI ,4.0000 ,75.661017 ,302.6440680000
000025,FILTROS,00000FS-19624 ,FS-19624 FLEETGUARD ,UNI ,7.0000 ,40.650121 ,284.5508470000
000025,FILTROS,00000FSA-6657 ,FS-6657 HIGH PERFOMANCE ,UNI ,1.0000 ,17.389831 ,17.3898310000
000025,FILTROS,00000LF-14000 ,LF-14000 FLEETGUARD ,UNI ,6.0000 ,94.279661 ,565.6779660000
000025,FILTROS,00000LF-16015 ,LF-16015 FLEETGUARD ,UNI ,8.0000 ,26.369703 ,210.9576240000
000025,FILTROS,00000LF-4013S ,LF-4013S LYS ,UNI ,8.0000 ,23.194916 ,185.5593280000
000025,FILTROS,00000LFP-1332 ,LFP-1332 LYS ,UNI ,5.0000 ,8.086441 ,40.4322050000
000025,FILTROS,00000LFP-2330 ,LFP-2330 LYS ,UNI ,3.0000 ,7.570621 ,22.7118630000
000025,FILTROS,00000LFP-8220 ,LFP-8220 LYS ,UNI ,3.0000 ,11.511299 ,34.5338970000
000025,FILTROS,00000LFW-2061 ,LFW-2061 LYS ,UNI ,5.0000 ,36.179661 ,180.8983050000
000025,FILTROS,00000P-550372 ,P-550372 DONALDSON ,UNI ,7.0000 ,31.730024 ,222.1101680000
000025,FILTROS,00000P-550467 ,P-550467 DONALDSON ,UNI ,8.0000 ,41.049788 ,328.3983040000
000025,FILTROS,00000P-550762 ,P-550762 DONALDSON ,UNI ,2.0000 ,67.322034 ,134.6440680000
000025,FILTROS,00000P-550769 ,P-550769 DONALDSON ,UNI ,2.0000 ,44.631356 ,89.2627120000
000025,FILTROS,00000P-550779 ,P-550779 DONALDSON ,UNI ,4.0000 ,51.220339 ,204.8813560000
000025,FILTROS,00000P-551034 ,P-551034 DONALDSON ,UNI ,2.0000 ,50.338983 ,100.6779660000
000025,FILTROS,00000P-551329 ,P-551329 DONALDSON ,UNI ,1.0000 ,31.262712 ,31.2627120000
000025,FILTROS,00000P-552518 ,P-552518 DONALDSON ,UNI ,5.0000 ,10.300000 ,51.5000000000
000025,FILTROS,00000P-553000 ,P-553000 DONALDSON ,UNI ,6.0000 ,47.759887 ,286.5593220000
000025,FILTROS,00000P-553004 ,P-553004 DONALDSON ,UNI ,4.0000 ,18.129237 ,72.5169480000
000025,FILTROS,00000P-558712 ,P-558712 DONALDSON ,UNI ,3.0000 ,26.299435 ,78.8983050000
000025,FILTROS,00000PER-147B ,PER-147B PUROLATOR ,UNI ,12.0000 ,8.020209 ,96.2425080000
000025,FILTROS,00000PER-2050 ,PER-2050 PUROLATOR ,UNI ,5.0000 ,27.010169 ,135.0508450000
000025,FILTROS,00000PER-23-2 ,PER-23-2 PUROLATOR ,UNI ,9.0000 ,14.250471 ,128.2542390000
000025,FILTROS,00000PFC-3180 ,PFC-3180 PUROLATOR ,UNI ,1.0000 ,14.144068 ,14.1440680000
000025,FILTROS,00000PR-150-3 ,PR-150-3 PUROLATOR ,UNI ,16.0000 ,20.129767 ,322.0762720000
000025,FILTROS,00003517857-3 ,3517857-3 VOLVO ,UNI ,1.0000 ,35.000000 ,35.0000000000
000025,FILTROS,0000HFF-40030 ,HFF-40030 WILLY BUSCH ,UNI ,12.0000 ,18.080155 ,216.9618600000
000025,FILTROS,0000LF-423135 ,LF-423135 LYS ,UNI ,1.0000 ,10.129944 ,10.1299440000
000025,FILTROS,0000LF-466634 ,LF-466634 LYS ,UNI ,19.0000 ,23.563336 ,447.7033840000
000025,FILTROS,0000LFWP-9000 ,LFWP-9000 LYS ,UNI ,2.0000 ,23.059322 ,46.1186440000
000025,FILTROS,0000WK-1060/1 ,WK-1060/1 MANN FILTER ,UNI ,8.0000 ,46.209746 ,369.6779680000
000025,FILTROS,0000WK-950/14 ,WK-950/14 MANN FILTER ,UNI ,5.0000 ,36.579661 ,182.8983050000
000025,FILTROS,000LFP-466987 ,LFP-466987 LYS ,UNI ,16.0000 ,8.260036 ,132.1605760000
000025,FILTROS,000LFP-819384 ,LFP-819384 LYS ,UNI ,5.0000 ,20.479661 ,102.3983050000
000025,FILTROS,000S156072051 ,S156072051 HINO ,UNI ,2.0000 ,42.859322 ,85.7186440000
000025,FILTROS,000S234011441 ,S234011441 HINO ,UNI ,3.0000 ,77.030508 ,231.0915240000
000025,FILTROS,000S234011510 ,S234011510 HINO ,UNI ,4.0000 ,33.022599 ,132.0903960000
000025,FILTROS,000WP-11102/3 ,WP-11102/3 MANN FILTER ,UNI ,6.0000 ,33.649718 ,201.8983080000
000025,FILTROS,0023300-15010 ,23300-15010 TOYOTA ,UNI ,2.0000 ,3.351695 ,6.7033900000
000025,FILTROS,0023300-34100 ,23300-34100 MOTORS PARTS ,UNI ,6.0000 ,5.429379 ,32.5762740000
000025,FILTROS,0023300-75110 ,23300-75110 TOYOTA ,UNI ,2.0000 ,99.029661 ,198.0593220000
000025,FILTROS,0023390-0L041 ,23390-0L041 TOYOTA ,UNI ,2.0000 ,46.699153 ,93.3983060000
000025,FILTROS,0090915-YZZD2 ,90915-YZZD2 TOYOTA ,UNI ,4.0000 ,24.661017 ,98.6440680000
000025,FILTROS,00BPS-8125339 ,BPS-8125339 WILLY BUSCH ,UNI ,26.0000 ,6.097783 ,158.5423580000
000025,FILTROS,00WP-11102/18 ,WP-11102/18 MANN FILTER ,UNI ,1.0000 ,50.838983 ,50.8389830000
000025,FILTROS,058-980714230 ,58-98071-423-0 ISUZU ,UNI ,1.0000 ,292.457627 ,292.4576270000
000025,FILTROS,08-97062294-0 ,8-97062294-0 ISUZU ,UNI ,1.0000 ,117.322034 ,117.3220340000
000025,FILTROS,08-97148270-1 ,8-97148270-1 ISUZU ,UNI ,5.0000 ,66.989831 ,334.9491550000
000025,FILTROS,08-98092481-1 ,8-98092481-1 ISUZU ,UNI ,9.0000 ,118.539548 ,1066.8559320000
000025,FILTROS,08-98095983-0 ,8-98095983-0 ISUZU ,UNI ,2.0000 ,37.851695 ,75.7033900000
000025,FILTROS,08-98203599-0 ,8-98203599-0 ISUZU ,UNI ,11.0000 ,46.289676 ,509.1864360000
000025,FILTROS,51-13240194-0 ,51-13240-194-0 ISUZU ,UNI ,7.0000 ,48.110169 ,336.7711830000
000025,FILTROS,WP-11102 MANN ,WP-11102 MAN FILTER ,UNI ,1.0000 ,52.542373 ,52.5423730000
000026,EMBREADO,000000000SE01 ,SERVICIO DE EMBREADO ,01 ,-3.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL01 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL02 ,SERVICIO DE LAVADO ,01 ,-3.0000 ,0.000000 ,0.0000000000
000027,LAVADO,000000000SL03 ,SERVICIO DE LAVADO ,01 ,0.0000 ,0.000000 ,0.0000000000
